target_variable,predictor,count,min_p_value,mean_p_value,max_coef_ratio,max_coef,mean_coef
pairwise_critical_infrastructure_presence_and_power_outages_presence_freq,critical_infrastructure_presence_freq,5,0.0,0.0,5.556206088992973,0.4963,0.48684000000000005
pairwise_geopolitical_and_war_dynamics_presence_and_power_outages_presence_freq,geopolitical_and_war_dynamics_presence_freq,5,0.0,4e-05,4.81062060140755,0.7967,0.69206
pairwise_energy_and_resources_presence_and_power_outages_presence_freq,energy_and_resources_presence_freq,4,0.0,2.5e-05,5.595787362086258,0.5579,0.50865
pairwise_geopolitical_and_war_dynamics_presence_and_power_outages_presence_freq,war_related_environmental_and_resource_impact_presence_freq,3,0.009,0.0096,2.609713282621416,0.4462,0.44606666666666667
pairwise_geopolitical_and_war_dynamics_presence_and_power_outages_presence_freq,energy_and_resources_presence_freq,3,0.0028,0.0030666666666666668,2.9877242681775265,0.6329,0.6328333333333334
reaction_score_sum,env_and_climate_issues_presence_freq,3,0.0,0.0005333333333333334,4.565952649379932,0.405,0.37703333333333333
war_related_environmental_and_resource_impact_presence_freq,energy_and_resources_presence_freq,2,0.1065,0.107,1.6137901861252115,2.2957,1.52935
pairwise_geopolitical_and_war_dynamics_presence_and_power_outages_presence_freq,env_and_climate_issues_presence_freq,2,0.0071,0.007500000000000001,2.6896551724137936,0.2184,0.21835
energy_and_resources_presence_freq,critical_infrastructure_presence_freq,2,0.0,0.0041,4.269230769230769,3.3966,2.67605
reaction_score_median,env_and_climate_issues_presence_freq,2,0.0008,0.02155,3.333333333333333,0.009,0.007949999999999999
reaction_score_sum,pairwise_geopolitical_and_war_dynamics_presence_and_power_outages_presence_freq,1,0.3522,0.3522,0.9304242424242424,0.3838,0.3838
reaction_score_sum,pairwise_war_related_environmental_and_resource_impact_presence_and_power_outages_presence_freq,1,0.0673,0.0673,1.8300091491308326,1.0001,1.0001
reaction_score_sum,energy_and_resources_presence_freq,1,0.0714,0.0714,1.8027864520778283,0.7505,0.7505
reaction_score_sum,pairwise_energy_and_resources_presence_and_power_outages_presence_freq,1,0.6889,0.6889,0.40034501061571126,0.3017,0.3017
war_related_environmental_and_resource_impact_presence_freq,geopolitical_and_war_dynamics_presence_freq,1,0.0038,0.0038,2.8941359626362217,0.5577,0.5577
reaction_score_sum,pairwise_critical_infrastructure_presence_and_power_outages_presence_freq,1,0.2929,0.2929,1.0518525592055004,1.1015,1.1015
reaction_score_sum,pairwise_env_and_climate_issues_presence_and_power_outages_presence_freq,1,0.1298,0.1298,1.5151933701657458,0.4388,0.4388
critical_infrastructure_presence_freq,geopolitical_and_war_dynamics_presence_freq,1,0.0256,0.0256,2.2308930008045054,0.2773,0.2773
reaction_score_sum,critical_infrastructure_presence_freq,1,0.3571,0.3571,0.9208294062205465,0.6839,0.6839
reaction_score_mean,geopolitical_and_war_dynamics_presence_freq,1,0.0319,0.0319,2.111111111111111,0.0076,0.0076
pairwise_env_and_climate_issues_presence_and_power_outages_presence_freq,env_and_climate_issues_presence_freq,1,0.012,0.012,2.5126162018592297,0.1892,0.1892
pairwise_env_and_climate_issues_presence_and_power_outages_presence_freq,energy_and_resources_presence_freq,1,0.0014,0.0014,3.2001721911321566,0.7434,0.7434
env_and_climate_issues_presence_freq,pairwise_geopolitical_and_war_dynamics_presence_and_power_outages_presence_freq,1,0.0,0.0,5.44398511781728,1.3169,1.3169
env_and_climate_issues_presence_freq,pairwise_env_and_climate_issues_presence_and_power_outages_presence_freq,1,0.0,0.0,5.177209510991476,1.154,1.154
energy_and_resources_presence_freq,pairwise_geopolitical_and_war_dynamics_presence_and_power_outages_presence_freq,1,0.0143,0.0143,2.448329448329448,0.3151,0.3151
energy_and_resources_presence_freq,pairwise_critical_infrastructure_presence_and_power_outages_presence_freq,1,0.0051,0.0051,2.8025024269226617,2.5982,2.5982
war_related_environmental_and_resource_impact_presence_freq,pairwise_energy_and_resources_presence_and_power_outages_presence_freq,1,0.0596,0.0596,1.8835607186275836,2.7888,2.7888
